date,AAPL,AMD,AMZN,AVGO,BA,BAC,CAT,COST,CVX,DE,DIS,EEM,EFA,F,GLD,GM,GOOGL,GS,HD,HYG,IEF,INTC,IWD,IWF,IWM,JNJ,JPM,KHC,KO,LIN,LLY,LMT,LQD,MA,META,MSFT,MTUM,NEE,NKE,NVDA,PEP,PFE,PG,QQQ,QUAL,SBUX,SPY,T,TLT,TSLA,UNH,USMV,USO,UUP,V,VNQ,VZ,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,XOM
2019-12-02,63.5634,38.73,89.08,26.3664,353.0793,28.2435,125.4263,270.6969,86.9471,150.7406,145.1659,36.2738,55.2007,6.4969,137.79,33.6155,63.8356,185.9965,183.0546,60.207,93.8259,50.8614,115.7658,40.5414,146.9832,114.1814,109.8605,22.1143,43.8616,182.3129,108.0838,320.2052,99.4071,275.6271,197.9616,141.0998,113.658,48.7813,84.082,5.1958,109.0571,26.006,103.3781,194.9975,89.4222,72.7163,282.6762,17.8042,112.8839,22.3247,247.7304,57.2,93.36,22.6508,173.2035,70.8822,40.5383,25.9689,48.749,21.6759,26.4193,72.5105,41.0331,51.9132,30.1914,25.4212,88.1877,57.2592,50.7663
2019-12-03,62.43,38.9,88.498,26.01,349.9976,27.745,122.882,269.1313,86.2696,149.1082,143.1997,36.0862,54.9973,6.4103,139.11,33.2876,64.1268,181.3816,180.0095,60.1235,94.6626,49.4589,114.8106,40.3046,146.5152,114.0152,108.4482,22.0071,43.9024,183.5941,108.8893,318.5358,100.1737,276.2237,197.0893,140.8733,113.7414,48.988,83.0935,5.1563,108.72,25.843,103.5718,193.4702,88.819,72.9313,280.7803,17.914,115.2508,22.4133,245.2855,57.0667,94.08,22.6255,173.3083,71.3385,40.66,25.8029,48.6554,21.352,26.049,71.7197,40.6695,51.8296,30.4381,25.4902,87.9918,56.6839,50.3656
2019-12-04,62.981,39.69,88.0345,26.2815,346.7768,28.0069,122.9346,269.905,87.0513,150.7224,142.9106,36.3591,55.5018,6.4536,138.92,33.5405,65.3254,184.5436,181.2455,60.3044,94.2992,49.4148,115.6789,40.5222,147.5246,115.8605,110.5874,22.1715,44.3023,184.2393,109.8707,321.0064,100.0407,275.9832,196.9802,141.3828,114.2702,49.4163,84.2258,5.2,110.1968,25.9041,104.9028,194.4499,89.4679,73.4299,282.5129,18.1764,114.1,22.202,247.4293,57.3421,97.52,22.6001,172.0697,71.6324,40.9236,25.8596,48.9082,21.6722,26.2959,71.9982,40.8348,52.1722,30.5972,25.685,88.811,56.9998,50.937
2019-12-05,63.905,39.62,87.024,26.4063,343.6355,28.1088,123.7506,266.792,86.5972,150.0931,142.101,36.5211,55.396,6.4392,139.0,33.4364,65.7226,185.5692,180.3143,60.3948,94.0795,49.4677,115.9134,40.5749,147.6713,116.0102,111.1891,22.3287,44.2207,185.148,110.8891,322.1416,99.9313,278.8791,197.6245,141.4583,114.4743,49.4795,86.0862,5.1832,110.1927,25.8294,104.9786,194.8342,89.7238,72.6131,283.0208,18.2193,113.545,22.0247,249.8032,57.4399,97.52,22.5494,173.2988,71.671,41.1197,25.9907,49.1142,21.5692,26.4193,72.0162,40.9859,52.1555,30.645,25.7296,88.811,56.9432,50.7589
2019-12-06,65.1394,39.63,87.58,26.8187,351.9957,28.6015,125.2157,268.476,87.8478,150.6677,142.3131,36.7344,55.9006,6.5041,137.62,33.6542,66.3382,191.9531,181.3979,60.4783,93.7921,50.1116,116.938,40.9097,149.3964,116.6918,112.8436,22.2143,44.4084,186.7655,110.7688,322.9095,99.8765,279.4084,199.2998,143.1754,114.7526,49.4437,87.1736,5.2683,111.0171,26.006,104.6163,196.9187,90.4731,74.221,285.606,18.2241,112.9166,22.3927,249.1542,57.6708,98.56,22.6339,173.5655,71.8179,41.3699,26.2572,49.4045,21.9814,26.772,72.8879,41.4391,52.3559,30.6529,25.6525,89.3986,57.4006,51.5751
2019-12-09,64.2275,38.93,87.4755,26.677,349.1328,28.4656,125.3123,268.6671,87.3193,153.1209,140.9156,36.5894,55.6076,6.4969,137.58,33.5026,66.5165,189.5602,183.3026,60.4783,93.8681,49.8647,116.6254,40.7614,149.1119,116.7916,112.3172,22.8145,44.1228,186.5838,111.3243,319.9715,99.8608,278.1191,199.5873,142.8075,114.3908,49.4184,86.8411,5.2683,110.8555,26.0264,105.1892,196.0253,90.3178,74.1866,284.7079,18.1477,113.1614,22.6353,246.7977,57.5376,98.64,22.6086,174.2801,71.9571,41.2482,26.2048,49.2172,21.9556,26.7103,72.6093,41.2219,52.3977,30.6927,25.5632,88.7753,57.4713,51.6863
2019-12-10,64.6028,39.44,86.9605,26.7347,345.8423,28.4826,125.3473,269.2314,87.7585,154.9449,140.8096,36.7173,55.632,6.5401,137.97,33.247,66.5116,189.62,182.7692,60.6244,93.7583,49.9176,116.5473,40.7184,149.2036,116.3676,112.3924,22.7788,43.8779,185.3297,111.7039,320.8896,99.8608,277.6862,199.1214,142.5905,114.2053,49.4563,87.1826,5.3133,110.1361,26.1351,104.6838,195.862,90.199,73.9802,284.3905,18.1573,113.1696,23.256,248.5583,57.4754,99.12,22.5832,173.6513,71.5395,41.3969,26.0475,49.0486,21.9998,26.7191,72.5194,41.255,52.2306,30.4779,25.5592,88.9712,57.3723,51.2411
2019-12-11,65.1539,39.47,87.436,27.1301,347.9299,28.576,126.3387,268.7946,86.5228,154.7625,142.2456,37.2546,55.925,6.569,138.92,33.3701,66.579,189.0303,179.4677,60.7496,94.1471,50.341,116.6775,40.8666,149.1578,117.1905,112.125,22.5787,44.0248,186.8654,111.8242,322.3921,100.252,279.0716,200.4993,143.1283,114.4743,49.7369,87.3354,5.3967,110.807,25.9585,105.0123,196.8994,90.528,74.4531,285.1978,18.2098,114.0593,23.5133,249.4298,57.4665,98.4,22.4987,173.4131,70.8126,41.2955,26.2441,49.2734,21.963,26.6574,72.9777,41.5336,52.3058,30.2471,25.6282,89.0513,57.5185,51.167
2019-12-12,65.3199,42.59,88.0165,27.8157,344.2419,29.4595,128.7778,270.6514,88.4433,158.5198,142.4094,37.9028,56.2994,6.7204,138.43,34.1844,66.789,193.1837,179.5016,60.8888,93.4033,50.7644,117.9974,41.0915,150.4424,117.4898,115.3338,22.8217,44.1799,190.7547,112.676,320.5641,99.7904,281.1498,195.0373,144.5812,114.5764,49.3403,87.8206,5.5638,110.8716,26.1758,104.9365,198.3691,91.2043,75.8461,287.6559,18.2956,112.182,23.9787,252.1952,57.6086,98.96,22.5325,174.0133,69.8537,41.3563,26.6111,49.3296,22.3679,27.1777,73.6248,41.9774,52.2641,29.881,25.5186,89.8793,58.023,52.1909
2019-12-13,66.2078,41.15,88.047,26.7652,339.6492,29.2556,127.6811,265.6724,87.8106,157.316,141.9246,37.8858,56.69,6.6555,139.05,33.7583,66.7087,192.2863,181.2286,60.9514,93.9527,50.9761,117.6327,41.2278,149.8642,117.523,114.3227,22.5787,44.4084,189.9641,112.5186,322.5841,100.4397,284.883,192.4203,145.7983,115.0773,49.9837,87.8656,5.5618,111.4859,26.0332,105.6946,199.0223,91.122,76.2416,287.8282,18.2527,113.4798,23.8927,253.8582,57.7508,99.92,22.5325,176.3952,69.8692,41.1129,26.4058,49.2172,22.1986,27.0807,73.427,42.256,52.4478,29.9129,25.7175,89.817,58.0749,51.3673
