date,AAPL,AMD,AMZN,AVGO,BA,BAC,CAT,COST,CVX,DE,DIS,EEM,EFA,F,GLD,GM,GOOGL,GS,HD,HYG,IEF,INTC,IWD,IWF,IWM,JNJ,JPM,KHC,KO,LIN,LLY,LMT,LQD,MA,META,MSFT,MTUM,NEE,NKE,NVDA,PEP,PFE,PG,QQQ,QUAL,SBUX,SPY,T,TLT,TSLA,UNH,USMV,USO,UUP,V,VNQ,VZ,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,XOM
2019-12-02,94487200,35710200,78512000,23158000,4794500,47158800,2896200,2705500,5195200,2694400,10351000,59762300,38855400,37232700,8274700,6782000,26538000,2118500,4416300,20966400,6826400,19154500,2236500,6128000,17190900,4717100,8615600,5816500,13173800,1718600,2199700,1283400,14911500,3062300,11503400,27418400,944500,7118000,3892000,372036000,3866300,15645998,6146200,28007000,955300,6425800,75767800,32951182,17702200,91117500,2517100,3801600,1741188,704800,6883200,9430800,9142000,13946400,4503300,30779000,52427800,18275700,23167600,17920100,6651500,37401200,6682200,7083400,11116900
2019-12-03,114430400,51556400,67618000,18736000,4683500,58745100,3839600,1921400,6135800,1966500,9273800,50471700,28161500,40653100,8481700,8211000,25270000,3207100,6505400,29757200,6561900,25737400,2059600,8022400,14884400,5741400,10361300,5573200,14498300,1230600,2786000,1384300,9376800,2528300,11595300,24066000,930300,9249200,5570700,465232000,5000000,20869832,6396200,31104100,616000,6049800,73941700,32927880,13062400,98605500,3239200,2928500,2904463,499700,4543300,4762900,10289400,17312600,3795500,33891000,66912000,20384400,22494400,20537000,3584000,25801800,7709700,8946200,12245800
2019-12-04,67181600,44299400,53402000,14439000,3014200,46637900,2484600,1742000,5706700,1756400,7684800,47026100,21762200,29982900,6322300,8962100,35506000,1583600,4256200,12406800,2072200,18881400,1903200,4479600,10833200,7257300,10318200,5448200,13624000,1384500,2597000,1081100,11177600,2743300,8456300,17574700,605500,6699200,4456400,273424000,4228200,14501248,6857300,15300100,833400,5940300,49080000,50625656,8586300,82995000,2694200,2751300,3670338,317000,10650400,4129800,8237500,11218600,4519600,34853000,41793900,16090300,13829000,17369100,2283800,39195400,6237600,5658200,11049700
2019-12-05,74424400,35574000,56476000,15494000,4719600,38304500,2277700,1941100,5517500,1234000,7363300,43346400,21039700,25768600,5671500,6892800,24408000,1329300,4580500,18158900,3062000,17673700,1677700,5528400,11470700,5472900,9587400,4606300,14068100,868700,3003200,1203700,5700600,2580300,9740400,17869100,466700,6413200,6946000,184884000,3351800,13098058,7029200,14962300,550600,5170800,40709000,28815933,7273800,55869000,3357300,2835200,2974575,270800,4638600,4846800,9812500,10409200,3688600,21784800,44933500,18539400,15620600,13445200,3042200,24899400,7390400,4704600,13109000
2019-12-06,106075600,31101400,62348000,16937000,2856100,50908500,2271400,1462000,6735300,1523400,7084900,56766600,23179600,31086900,8714500,8404200,32968000,4229400,4193700,16094700,2717400,16476800,2950400,7420800,16486200,6640400,10170600,6496100,7843500,912300,2462800,709600,6149500,2425200,12270600,16403500,662000,6196000,6368500,232236000,3216900,12868708,7150900,16555300,583600,8499800,48927000,29930476,7931100,114186000,2828900,2645900,2626563,313400,14526700,4486000,9296900,13194400,4971800,33459200,40811300,8966700,18407000,10746700,3855600,19164400,5658500,5031000,13710800
2019-12-09,128042400,27928100,48856000,24694000,2844600,32974500,1585100,1960000,4736100,1730800,11515000,37622000,21946200,21772900,2711600,6922700,30842000,2134600,5111100,18034300,1928500,14298600,1593900,4458000,13476700,4241000,8498200,8128000,13887200,1038300,2335100,821600,4545300,1903000,11954800,16687400,339800,4560000,6517800,211880000,3882900,15641571,7452800,13984100,541500,7164700,34838500,27278637,4016900,135346500,2697100,2657300,1587100,212200,10233100,3961000,9370200,5500400,3016100,16812600,21627500,6951300,11370200,6643000,2562300,23166400,5148900,3577600,12397700
2019-12-10,90420400,33733600,50286000,14563000,2920900,41960100,1888900,1565900,4886800,1643100,7084100,34791300,23419000,34217700,3240800,7594600,17606000,1854100,4663000,15117100,1707000,16157900,2233000,6114800,13704400,5310300,7532900,5544500,8993900,1135900,3592600,862100,6425500,2514300,9475700,16476100,318000,4345600,4234300,256388000,2940200,19171311,4740100,21799800,778600,7944800,52649800,28833410,4947600,132424500,2515300,2639200,1284188,205700,8625700,5227100,8290900,7099600,6432200,17570200,37362100,9046900,12350800,7194300,7303200,25197600,6027900,4360000,14281800
2019-12-11,78756800,31698300,41952000,20829000,7369100,43107800,2265700,1749800,7039600,1245800,8253700,60083200,16546800,33204200,6097500,7754200,20480000,1778600,8284800,14127500,2462600,20051100,2035700,4532000,19612200,6631500,9011900,5443200,8879100,1159200,3438100,578900,4417100,2298100,8036800,18856600,307900,6212800,4319700,233796000,3339100,15569372,4823300,18780800,695700,4921900,53429100,24529351,6256700,103467000,2751300,2339300,1918325,552300,7138800,5112100,9657500,6985400,1436500,24872400,24490200,9070300,9879000,6201700,6222900,23980200,6064300,4099400,13748400
2019-12-12,137310400,86878000,61918000,38935000,5970000,64942500,3714100,2742700,6462000,2168500,7748300,132196700,30690900,48390900,8815100,11352800,29114000,2974300,9915100,18958100,5490400,27883300,2042300,8486400,24857000,5012400,13717400,5689800,11233300,1333000,2959400,736100,10375000,2746400,23734800,24612100,812200,6970400,4762800,404348000,3502100,13414469,5897800,32612000,887400,10282100,96389600,31237662,14857000,116458500,2996200,3361300,2787500,627300,11192100,7923900,8571600,14450800,2866800,44981600,68427500,15561500,24189400,11843600,7621000,48234200,9769100,9226200,17068500
2019-12-13,133587600,79927800,54914000,70952000,4526300,48539600,3311700,5195600,4863400,1775600,9350100,160526800,46988400,35334500,6964300,8276000,33170000,1908200,6869200,18088100,4162000,22795200,3802000,9776400,23279600,4257200,10592100,5174500,13072200,1527900,3343900,658000,12474100,3565400,18798000,23845400,762300,8345200,5247600,454704000,3557900,16678496,5471600,32519400,763800,6714100,81503900,32957538,11335100,98563500,3599300,4008300,2137638,291700,8558100,6814200,10585900,10166800,2834400,22743000,48135700,11754800,26256200,10158300,6152000,38669200,6433200,7124800,12274500
